date,store_type,sales,discount_average,has_new_product,is_weekend,market
2021-01-02,type_3,2162.21,38.54,0,1,market_1
2021-01-02,type_1,6311.62,34.67,0,1,market_1
2021-01-02,type_2,2625.17,82.00,0,1,market_1
2021-01-03,type_3,1687.20,33.43,0,1,market_1
2021-01-03,type_1,5160.21,33.46,0,1,market_1
2021-01-03,type_2,2083.12,72.31,0,1,market_1
2021-01-04,type_3,1960.60,30.00,0,0,market_1
2021-01-04,type_1,4969.73,35.83,0,0,market_1
2021-01-04,type_2,2776.05,10.00,0,0,market_1
2021-01-05,type_3,1486.51,28.84,0,0,market_1
2021-01-05,type_1,4015.92,33.41,0,0,market_1
2021-01-05,type_2,1862.62,10.00,0,0,market_1
2021-01-07,type_3,1950.38,32.46,0,0,market_1
2021-01-07,type_1,5165.44,29.33,1,0,market_1
2021-01-07,type_2,2775.26,10.00,1,0,market_1
2021-01-08,type_3,1990.24,32.44,0,1,market_1
2021-01-08,type_1,5442.88,30.00,1,1,market_1
2021-01-08,type_2,3024.00,25.00,0,1,market_1
2021-01-09,type_3,2017.83,30.55,0,1,market_1
2021-01-09,type_1,6727.98,39.73,0,1,market_1
2021-01-09,type_2,3162.39,14.00,0,1,market_1
2021-01-11,type_3,1869.48,30.00,0,0,market_1
2021-01-11,type_1,4915.16,30.00,1,0,market_1
2021-01-11,type_2,3019.89,10.00,0,0,market_1
2021-01-12,type_3,1882.29,37.01,0,0,market_1
2021-01-12,type_1,5047.65,30.00,0,0,market_1
2021-01-12,type_2,3549.07,10.00,0,0,market_1
2021-01-13,type_3,1730.38,30.00,0,0,market_1
2021-01-13,type_1,4844.54,30.00,1,0,market_1
2021-01-13,type_2,3324.66,10.00,1,0,market_1
2021-01-14,type_3,1570.71,41.89,0,0,market_1
2021-01-14,type_1,3904.05,35.60,0,0,market_1
2021-01-14,type_2,2622.90,25.00,0,0,market_1
2021-01-15,type_3,1798.45,30.00,0,1,market_1
2021-01-15,type_1,5348.22,28.62,0,1,market_1
2021-01-15,type_2,3013.66,,0,1,market_1
2021-01-16,type_3,1815.62,39.22,0,1,market_1
2021-01-16,type_1,5967.03,35.10,0,1,market_1
2021-01-16,type_2,2440.09,10.00,0,1,market_1
2021-01-18,type_3,1861.97,33.86,1,0,market_1
2021-01-18,type_2,2248.79,10.00,1,0,market_1
2021-01-19,type_3,1848.51,36.25,1,0,market_1
2021-01-19,type_2,2398.89,10.00,0,0,market_1
2021-01-20,type_3,1507.97,30.28,0,0,market_1
2021-01-20,type_2,2951.98,10.00,0,0,market_1
2021-01-21,type_3,1821.82,29.52,1,0,market_1
2021-01-21,type_2,2332.90,10.00,0,0,market_1
2021-01-22,type_3,1658.95,37.35,1,1,market_1
2021-01-22,type_2,2420.29,10.00,0,1,market_1
2021-01-23,type_3,1461.28,40.00,1,1,market_1
2021-01-23,type_2,2836.92,15.00,0,1,market_1
2021-01-25,type_3,1409.17,30.00,1,0,market_1
2021-01-25,type_2,2533.54,10.00,1,0,market_1
2021-01-26,type_3,1546.87,41.78,0,0,market_1
2021-01-26,type_2,2452.32,10.00,0,0,market_1
2021-01-27,type_3,1478.16,45.37,0,0,market_1
2021-01-27,type_2,2310.99,37.00,1,0,market_1
2021-01-28,type_3,1512.32,48.49,0,0,market_1
2021-01-28,type_2,2511.46,32.50,0,0,market_1
2021-01-29,type_3,1773.02,34.04,0,1,market_1
2021-01-29,type_2,2780.43,10.00,0,1,market_1
2021-01-30,type_3,1527.88,39.28,0,1,market_1
2021-01-30,type_2,2638.47,10.00,0,1,market_1
2021-02-01,type_3,1522.50,30.50,0,0,market_1
2021-02-01,type_2,2343.48,10.00,1,0,market_1
2021-02-02,type_3,1430.77,40.74,0,0,market_1
2021-02-02,type_2,2182.90,82.00,0,0,market_1
2021-02-03,type_3,1407.81,33.23,0,0,market_1
2021-02-03,type_2,2546.52,88.00,0,0,market_1
2021-02-04,type_3,1730.25,41.29,1,0,market_1
2021-02-04,type_2,2838.16,10.00,0,0,market_1
2021-02-05,type_3,1826.12,36.35,1,1,market_1
2021-02-05,type_2,2749.16,17.83,0,1,market_1
2021-02-06,type_3,1651.11,36.42,1,1,market_1
2021-02-06,type_2,2571.97,10.00,0,1,market_1
2021-02-08,type_3,1521.28,43.25,0,0,market_1
2021-02-08,type_2,2613.90,82.00,0,0,market_1
2021-02-09,type_3,1407.55,31.89,1,0,market_1
2021-02-09,type_2,2946.38,11.82,0,0,market_1
2021-02-10,type_3,1918.79,39.07,1,0,market_1
2021-02-10,type_2,2404.12,10.00,1,0,market_1
2021-02-11,type_3,1722.51,32.86,1,0,market_1
2021-02-11,type_2,2009.75,52.86,0,0,market_1
2021-02-12,type_3,1803.01,30.00,1,1,market_1
2021-02-12,type_2,2722.25,10.00,0,1,market_1
2021-02-13,type_3,1576.91,41.04,0,1,market_1
2021-02-13,type_2,2884.05,10.00,0,1,market_1
2021-02-15,type_3,1398.10,34.71,1,0,market_1
2021-02-15,type_2,2029.44,22.86,0,0,market_1
2021-02-16,type_3,1833.02,34.67,0,0,market_1
2021-02-16,type_2,2788.18,10.00,0,0,market_1
2021-02-17,type_3,1724.24,35.71,1,0,market_1
2021-02-17,type_2,2630.09,10.00,0,0,market_1
2021-02-18,type_3,1639.09,30.72,0,0,market_1
2021-02-18,type_2,2781.44,10.00,1,0,market_1
2021-02-19,type_3,1607.95,38.61,1,1,market_1
2021-02-19,type_2,2731.59,10.00,0,1,market_1
2021-02-20,type_3,1685.08,41.93,0,1,market_1
2021-02-20,type_2,2228.38,10.00,0,1,market_1
2021-02-22,type_3,1511.31,41.35,0,0,market_1
2021-02-22,type_1,3545.94,30.00,1,0,market_1
2021-02-22,type_2,2452.58,17.50,0,0,market_1
2021-02-23,type_3,1512.25,30.00,0,0,market_1
2021-02-23,type_1,3666.29,33.33,0,0,market_1
2021-02-23,type_2,2832.28,10.00,0,0,market_1
2021-02-24,type_3,1451.43,35.68,0,0,market_1
2021-02-24,type_1,3717.75,30.00,1,0,market_1
2021-02-24,type_2,2562.99,10.00,1,0,market_1
2021-02-25,type_3,1632.36,29.13,1,0,market_1
2021-02-25,type_1,4418.86,30.00,1,0,market_1
2021-02-25,type_2,2503.23,32.50,0,0,market_1
2021-02-26,type_3,1731.97,30.00,0,1,market_1
2021-02-26,type_1,5563.69,34.24,1,1,market_1
2021-02-26,type_2,3313.60,10.00,1,1,market_1
